2-ketoglutarate dehydrogenase complex		1.8.1.4	LPD1	PMID:2072900
2-ketoglutarate dehydrogenase complex		2.3.1.61	KGD2	PMID:2072900
2-ketoglutarate dehydrogenase complex	Oxoglutarate dehydrogenase (lipoamide)	1.2.4.2	KGD1	PMID:2072900
4-aminobutyrate degradation	4-aminobutyrate aminotransferase	2.6.1.19	UGA1	PMID:3888627
4-aminobutyrate degradation	Succinate-semialdehyde dehydrogenase (NAD(P)+)	1.2.1.16	UGA2	PMID:3888627
acetate utilization	Acetate--CoA ligase	6.2.1.1	ACS1	
acetate utilization	Acetate--CoA ligase	6.2.1.1	ACS2	
acetoin biosynthesis	acetoin dehydrogenase	1.1.1.5	BDH1	PMID:16535224|PMID:10938079
acetoin biosynthesis	Acetolactate synthase	2.2.1.6	ILV2	PMID:16535224|PMID:10938079
acetoin biosynthesis	Acetolactate synthase	2.2.1.6	ILV6	PMID:16535224|PMID:10938079
acetoin biosynthesis II			PDC1	PMID:16535224|PMID:2404950|PMID:6383467
acetoin biosynthesis II			PDC1	PMID:16535224|PMID:2404950|PMID:6383467
acetoin biosynthesis II			PDC5	PMID:16535224|PMID:2404950|PMID:6383467
acetoin biosynthesis II			PDC5	PMID:16535224|PMID:2404950|PMID:6383467
acetoin biosynthesis II			PDC6	PMID:16535224|PMID:2404950|PMID:6383467
acetoin biosynthesis II			PDC6	PMID:16535224|PMID:2404950|PMID:6383467
acetoin biosynthesis II		4.1.1.1	PDC1	PMID:16535224|PMID:2404950|PMID:6383467
acetoin biosynthesis II		4.1.1.1	PDC5	PMID:16535224|PMID:2404950|PMID:6383467
acetoin biosynthesis II		4.1.1.1	PDC6	PMID:16535224|PMID:2404950|PMID:6383467
aerobic respiration, electron transport chain		1.10.2.2	COB	
aerobic respiration, electron transport chain		1.10.2.2	COR1	
aerobic respiration, electron transport chain		1.10.2.2	CYT1	
aerobic respiration, electron transport chain		1.10.2.2	QCR10	
aerobic respiration, electron transport chain		1.10.2.2	QCR2	
aerobic respiration, electron transport chain		1.10.2.2	QCR6	
aerobic respiration, electron transport chain		1.10.2.2	QCR7	
aerobic respiration, electron transport chain		1.10.2.2	QCR8	
aerobic respiration, electron transport chain		1.10.2.2	QCR9	
aerobic respiration, electron transport chain		1.10.2.2	RIP1	
aerobic respiration, electron transport chain		1.6.5.3	NDI1	
aerobic respiration, electron transport chain	Cytochrome-c oxidase	1.9.3.1	COX1	
aerobic respiration, electron transport chain	Cytochrome-c oxidase	1.9.3.1	COX12	
aerobic respiration, electron transport chain	Cytochrome-c oxidase	1.9.3.1	COX13	
aerobic respiration, electron transport chain	Cytochrome-c oxidase	1.9.3.1	COX2	
aerobic respiration, electron transport chain	Cytochrome-c oxidase	1.9.3.1	COX3	
aerobic respiration, electron transport chain	Cytochrome-c oxidase	1.9.3.1	COX4	
aerobic respiration, electron transport chain	Cytochrome-c oxidase	1.9.3.1	COX5A	
aerobic respiration, electron transport chain	Cytochrome-c oxidase	1.9.3.1	COX6	
aerobic respiration, electron transport chain	Cytochrome-c oxidase	1.9.3.1	COX7	
aerobic respiration, electron transport chain	Cytochrome-c oxidase	1.9.3.1	COX8	
aerobic respiration, electron transport chain	Cytochrome-c oxidase	1.9.3.1	COX9	
aerobic respiration, electron transport chain	Succinate dehydrogenase	1.3.5.1		
aerobic respiration, electron transport chain	Succinate dehydrogenase	1.3.5.1	SDH1	
aerobic respiration, electron transport chain	Succinate dehydrogenase	1.3.5.1	SDH2	
aerobic respiration, electron transport chain	Succinate dehydrogenase	1.3.5.1	SDH3	
aerobic respiration, electron transport chain	Succinate dehydrogenase	1.3.5.1	SDH4	
alanine biosynthesis	Alanine aminotransferase	2.6.1.2	ALT1	PMID:19396236
alanine degradation	Alanine aminotransferase	2.6.1.2	ALT1	
allantoin degradation	Allantoicase	3.5.3.4	DAL2	PMID:6105114|SGD_REF:S000042072|SGD_REF:S000075551
allantoin degradation	Allantoinase	3.5.2.5	DAL1	PMID:6105114|SGD_REF:S000042072|SGD_REF:S000075551
allantoin degradation	Allophanate hydrolase	3.5.1.54	DUR1,2	PMID:6105114|SGD_REF:S000042072|SGD_REF:S000075551
allantoin degradation	Urea carboxylase	6.3.4.6	DUR1,2	PMID:6105114|SGD_REF:S000042072|SGD_REF:S000075551
allantoin degradation	Ureidoglycolate lyase	4.3.2.3	DAL3	PMID:6105114|SGD_REF:S000042072|SGD_REF:S000075551
arginine biosynthesis	Acetylglutamate kinase	2.7.2.8	ARG5,6	PMID:12603335|SGD_REF:S000073096|PMID:11553611|SGD_REF:S000066207|PMID:205532|SGD_REF:S000070200
arginine biosynthesis	Acetylornithine aminotransferase	2.6.1.11	ARG8	PMID:12603335|SGD_REF:S000073096|PMID:11553611|SGD_REF:S000066207|PMID:205532|SGD_REF:S000070200
arginine biosynthesis	Amino-acid N-acetyltransferase	2.3.1.1	ARG2	PMID:12603335|SGD_REF:S000073096|PMID:11553611|SGD_REF:S000066207|PMID:205532|SGD_REF:S000070200
arginine biosynthesis	Amino-acid N-acetyltransferase	2.3.1.1	ARG7	PMID:12603335|SGD_REF:S000073096|PMID:11553611|SGD_REF:S000066207|PMID:205532|SGD_REF:S000070200
arginine biosynthesis	Argininosuccinate lyase	4.3.2.1	ARG4	PMID:12603335|SGD_REF:S000073096|PMID:11553611|SGD_REF:S000066207|PMID:205532|SGD_REF:S000070200
arginine biosynthesis	Argininosuccinate synthase	6.3.4.5	ARG1	PMID:12603335|SGD_REF:S000073096|PMID:11553611|SGD_REF:S000066207|PMID:205532|SGD_REF:S000070200
arginine biosynthesis	Carbamoyl-phosphate synthase (glutamine-hydrolysing)	6.3.5.5	CPA1	PMID:12603335|SGD_REF:S000073096|PMID:11553611|SGD_REF:S000066207|PMID:205532|SGD_REF:S000070200
arginine biosynthesis	Carbamoyl-phosphate synthase (glutamine-hydrolysing)	6.3.5.5	CPA2	PMID:12603335|SGD_REF:S000073096|PMID:11553611|SGD_REF:S000066207|PMID:205532|SGD_REF:S000070200
arginine biosynthesis	Carbamoyl-phosphate synthase (glutamine-hydrolysing)	6.3.5.5	URA2	PMID:12603335|SGD_REF:S000073096|PMID:11553611|SGD_REF:S000066207|PMID:205532|SGD_REF:S000070200
arginine biosynthesis	Glutamate N-acetyltransferase	2.3.1.35	ARG7	PMID:12603335|SGD_REF:S000073096|PMID:11553611|SGD_REF:S000066207|PMID:205532|SGD_REF:S000070200
arginine biosynthesis	N-acetyl-gamma-glutamyl-phosphate reductase	1.2.1.38	ARG5,6	PMID:12603335|SGD_REF:S000073096|PMID:11553611|SGD_REF:S000066207|PMID:205532|SGD_REF:S000070200
arginine biosynthesis	Ornithine carbamoyltransferase	2.1.3.3	ARG3	PMID:12603335|SGD_REF:S000073096|PMID:11553611|SGD_REF:S000066207|PMID:205532|SGD_REF:S000070200
arginine degradation (aerobic)	arginine degradation (anaerobic) (Pathway)			
arginine degradation (aerobic)	proline utilization (Pathway)			
arginine degradation (anaerobic)	Arginase	3.5.3.1	CAR1	PMID:12620851|SGD_REF:S000072637
arginine degradation (anaerobic)	Ornithine--oxo-acid aminotransferase	2.6.1.13	CAR2	PMID:12620851|SGD_REF:S000072637
arginine degradation (anaerobic)	Pyrroline-5-carboxylate reductase	1.5.1.2	PRO3	PMID:12620851|SGD_REF:S000072637
asparagine biosynthesis	Asparagine synthase (glutamine-hydrolysing)	6.3.5.4	ASN1	SGD_REF:S000070200
asparagine biosynthesis	Asparagine synthase (glutamine-hydrolysing)	6.3.5.4	ASN2	SGD_REF:S000070200
asparagine biosynthesis	Aspartate aminotransferase	2.6.1.1	AAT1	SGD_REF:S000070200
asparagine biosynthesis	Aspartate aminotransferase	2.6.1.1	AAT2	SGD_REF:S000070200
asparagine degradation	Asparaginase	3.5.1.1	ASP1	PMID:10640599|SGD_REF:S000061758|SGD_REF:S000070200
asparagine degradation	Asparaginase	3.5.1.1	ASP3-1	PMID:10640599|SGD_REF:S000061758|SGD_REF:S000070200
asparagine degradation	Asparaginase	3.5.1.1	ASP3-2	PMID:10640599|SGD_REF:S000061758|SGD_REF:S000070200
asparagine degradation	Asparaginase	3.5.1.1	ASP3-3	PMID:10640599|SGD_REF:S000061758|SGD_REF:S000070200
asparagine degradation	Asparaginase	3.5.1.1	ASP3-4	PMID:10640599|SGD_REF:S000061758|SGD_REF:S000070200
asparagine degradation	Aspartate aminotransferase	2.6.1.1	AAT1	PMID:10640599|SGD_REF:S000061758|SGD_REF:S000070200
asparagine degradation	Aspartate aminotransferase	2.6.1.1	AAT2	PMID:10640599|SGD_REF:S000061758|SGD_REF:S000070200
aspartate biosynthesis	Aspartate aminotransferase	2.6.1.1	AAT1	PMID:11082192|SGD_REF:S000059345|SGD_REF:S000070200|PMID:14745783|SGD_REF:S000075415
aspartate biosynthesis	Aspartate aminotransferase	2.6.1.1	AAT2	PMID:11082192|SGD_REF:S000059345|SGD_REF:S000070200|PMID:14745783|SGD_REF:S000075415
aspartate biosynthesis	Pyruvate carboxylase	6.4.1.1	PYC1	PMID:11082192|SGD_REF:S000059345|SGD_REF:S000070200|PMID:14745783|SGD_REF:S000075415
aspartate biosynthesis	Pyruvate carboxylase	6.4.1.1	PYC2	PMID:11082192|SGD_REF:S000059345|SGD_REF:S000070200|PMID:14745783|SGD_REF:S000075415
beta-alanine biosynthesis	Aldehyde dehydrogenase (NAD+)	1.2.1.3	ALD2	PMID:12586697|SGD_REF:S000072585
beta-alanine biosynthesis	Aldehyde dehydrogenase (NAD+)	1.2.1.3	ALD3	PMID:12586697|SGD_REF:S000072585
beta-alanine biosynthesis	Amine oxidase (flavin-containing)	1.4.3.4	FMS1	PMID:12586697|SGD_REF:S000072585
biotin biosynthesis	8-amino-7-oxononanoate synthase	2.3.1.47		PMID:12658511|SGD_REF:S000079647
biotin biosynthesis	Adenosylmethionine--8-amino-7-oxononanoate aminotransferase	2.6.1.62	BIO3	PMID:12658511|SGD_REF:S000079647
